K,Betha,Alpha,P,Q,PurePercent
3,0.5,0.02,0.03,0.012,33.3209170653784
3,0.5,0.02,0.03,0.015,29.8700159228916
3,0.5,0.02,0.03,0.018,29.9570386857734
3,0.5,0.02,0.03,0.021,28.0941938008965
3,0.5,0.02,0.03,0.024,25.6911674929337
3,0.5,0.02,0.03,0.027,25.7106614812073
3,0.5,0.02,0.03,0.03,25.3482936603034
3,0.5,0.02,0.04,0,100
3,0.5,0.02,0.04,0.004,53.4660773517047
3,0.5,0.02,0.04,0.008,38.1942207065996
3,0.5,0.02,0.04,0.012,34.0514933214792
3,0.5,0.02,0.04,0.016,28.7516550639819
3,0.5,0.02,0.04,0.02,24.0683999530413
3,0.5,0.02,0.04,0.024,21.6720021209729
3,0.5,0.02,0.04,0.028,21.3480368918525
3,0.5,0.02,0.04,0.032,22.2811839060044
3,0.5,0.02,0.04,0.036,21.1226732874897
3,0.5,0.02,0.04,0.04,19.7824365833384
3,0.5,0.02,0.05,0,100
3,0.5,0.02,0.05,0.005,47.2410595991409
3,0.5,0.02,0.05,0.01,33.5055435150732
3,0.5,0.02,0.05,0.015,24.8833162535376
3,0.5,0.02,0.05,0.02,22.1470791054495
3,0.5,0.02,0.05,0.025,20.3880005077227
3,0.5,0.02,0.05,0.03,19.5147529641534
3,0.5,0.02,0.05,0.035,17.9073480019884
3,0.5,0.02,0.05,0.04,17.9515787817846
3,0.5,0.02,0.05,0.045,16.3835016840351
3,0.5,0.02,0.05,0.05,15.769745677656
3,0.5,0.02,0.06,0,100
3,0.5,0.02,0.06,0.006,42.9242029208465
3,0.5,0.02,0.06,0.012,27.8716234890442
3,0.5,0.02,0.06,0.018,22.398080129914
3,0.5,0.02,0.06,0.024,19.074060966766
3,0.5,0.02,0.06,0.03,16.3381618976986
3,0.5,0.02,0.06,0.036,16.474413068884
3,0.5,0.02,0.06,0.042,14.9352632479909
3,0.5,0.02,0.06,0.048,14.4609803662092
3,0.5,0.02,0.06,0.054,14.4178365440416
3,0.5,0.02,0.06,0.06,13.6515553365447
3,0.5,0.02,0.07,0,100
3,0.5,0.02,0.07,0.007,37.1765252416727
3,0.5,0.02,0.07,0.014,23.5339207603706
3,0.5,0.02,0.07,0.021,19.1874281786163
3,0.5,0.02,0.07,0.028,16.7262475751368
3,0.5,0.02,0.07,0.035,14.3148463233564
3,0.5,0.02,0.07,0.042,14.5877757398481
3,0.5,0.02,0.07,0.049,13.9272439350865
3,0.5,0.02,0.07,0.056,12.47330698973
3,0.5,0.02,0.07,0.063,11.9988553357265
3,0.5,0.02,0.07,0.07,11.5069996507129
3,0.5,0.02,0.08,0,100
3,0.5,0.02,0.08,0.008,33.8198797941771
3,0.5,0.02,0.08,0.016,23.532988637092
3,0.5,0.02,0.08,0.024,20.0276369795707
3,0.5,0.02,0.08,0.032,14.4990843478299
3,0.5,0.02,0.08,0.04,12.792516667471
3,0.5,0.02,0.08,0.048,11.9810172075637
3,0.5,0.02,0.08,0.056,11.0820414231364
3,0.5,0.02,0.08,0.064,10.7554363604556
3,0.5,0.02,0.08,0.072,11.0031607844097
3,0.5,0.02,0.08,0.08,10.4427692138307
3,0.5,0.02,0.09,0,100
3,0.5,0.02,0.09,0.009,29.1277170869924
3,0.5,0.02,0.09,0.018,21.3332679445132
3,0.5,0.02,0.09,0.027,17.0600065712962
3,0.5,0.02,0.09,0.036,12.9616831165521
3,0.5,0.02,0.09,0.045,10.5728531531267
3,0.5,0.02,0.09,0.054,10.116996510442
3,0.5,0.02,0.09,0.063,9.62521006717522
3,0.5,0.02,0.09,0.072,9.30017574634895
3,0.5,0.02,0.09,0.081,9.36976340460513
3,0.5,0.02,0.09,0.09,8.85073264368686
3,0.5,0.02,0.1,0,100
3,0.5,0.02,0.1,0.01,29.7381005199593
3,0.5,0.02,0.1,0.02,18.4868782090919
3,0.5,0.02,0.1,0.03,13.3774080666489
3,0.5,0.02,0.1,0.04,12.9055774072852
3,0.5,0.02,0.1,0.05,9.98900854305625
3,0.5,0.02,0.1,0.06,9.42634116667764
3,0.5,0.02,0.1,0.07,8.44290123009145
3,0.5,0.02,0.1,0.08,8.70503915579394
3,0.5,0.02,0.1,0.09,7.62255975967779
3,0.5,0.02,0.1,0.1,7.51958348257819
3,0.5,0.025,0.01,0,100
3,0.5,0.025,0.01,0.001,85.7592160910822
3,0.5,0.025,0.01,0.002,79.4150824598093
3,0.5,0.025,0.01,0.003,72.9264352337675
3,0.5,0.025,0.01,0.004,68.9889998385635
3,0.5,0.025,0.01,0.005,66.0231864563045
3,0.5,0.025,0.01,0.006,64.311574797279
3,0.5,0.025,0.01,0.007,63.3794872864737
3,0.5,0.025,0.01,0.008,61.1734451755053
3,0.5,0.025,0.01,0.009,60.3820253092962
3,0.5,0.025,0.01,0.01,58.4694766686469
3,0.5,0.025,0.02,0,100
3,0.5,0.025,0.02,0.002,76.522416223448
3,0.5,0.025,0.02,0.004,60.386895202631
3,0.5,0.025,0.02,0.006,56.1438871600233
3,0.5,0.025,0.02,0.008,49.3891592148371
3,0.5,0.025,0.02,0.01,50.2960364387549
3,0.5,0.025,0.02,0.012,46.0565725534958
3,0.5,0.025,0.02,0.014,42.1592512585594
3,0.5,0.025,0.02,0.016,42.6727024574586
3,0.5,0.025,0.02,0.018,42.3582880441514
3,0.5,0.025,0.02,0.02,41.1909004621545
3,0.5,0.025,0.03,0,100
3,0.5,0.025,0.03,0.003,66.1209145134612
3,0.5,0.025,0.03,0.006,49.7312637088156
3,0.5,0.025,0.03,0.009,44.799261745729
3,0.5,0.025,0.03,0.012,41.251344544631
3,0.5,0.025,0.03,0.015,36.0894240265107
3,0.5,0.025,0.03,0.018,33.461654127384
3,0.5,0.025,0.03,0.021,32.6140404894008
3,0.5,0.025,0.03,0.024,32.1783160226424
3,0.5,0.025,0.03,0.027,31.0513966038828
3,0.5,0.025,0.03,0.03,30.6366071750766
